Period,PROD CODE,SALE CODE,QTY begin,SUBCON,Level subcon,Remark
2026-04,EAD64745627-I,EAD64745627-I,76,CKAD,1,
2026-04,EAD64745627-I,EAD64745627-I,2,CKAL,2,
2026-04,EAD65616822-I,EAD65616822-I,1000,CKAD,1,
2026-04,EAD65616822-I,EAD65616822-I,1204,CKVB,2,
2026-04,EAD64745815-I,EAD64745815-I,1000,CKAD,1,
2026-04,EAD64745815-I,EAD64745815-I,1083,CKVB,2,
2026-04,EAD64545802-T,EAD64545802-T,10,CKAL,2,
2026-04,EAD64545319-I,EAD64545319-I,2000,CKAD,1,
2026-04,EAD64545319-I,EAD64545319-I,6,CKTN,2,
2026-04,EAD65895024-I,EAD65895024-I,97,CKAL,2,
2026-04,EAD65606211-I,EAD65606211-I,1,CKAD,1,
2026-04,EAD66065901-I,EAD66065901-I,500,CKAD,1,
2026-04,EAD66065901-I,EAD66065901-I,101,CKAL,2,
2026-04,EAD60843547-I,EAD60843547-I,90,CKTN,2,
2026-04,EAD65616818-I,EAD65616818-I,1000,CKAD,1,
2026-04,EAD65616818-I,EAD65616818-I,36,CKVB,2,
2026-04,EAD65616818-I,EAD65616818-I,1040,CKTN,2,
2026-04,EAD61749501-T,EAD61749501-T,4,CKAD,1,
2026-04,EAD63954791-I,EAD63954791-I,1,CKAD,1,
2026-04,EAD63954791-I,EAD63954791-I,5,CKVB,2,
2026-04,EAD63954791-I,EAD63954791-I,20,CKTN,2,
2026-04,EAD60946255-I,EAD60946255-I,6,CKTN,2,
2026-04,EAD63954790-I,EAD63954790-I,100,CKAD,1,
2026-04,EAD63954790-I,EAD63954790-I,31,CKTN,2,
2026-04,EAD64149412-T,EAD64149412-T,2000,CKAD,1,
2026-04,EAD64149412-T,EAD64149412-T,36,CKAL,2,
2026-04,EAD66091501-I,EAD66091501-I,2000,CKAD,1,
2026-04,EAD66091501-I,EAD66091501-I,86,CKVB,2,
2026-04,EAD63911511-T,EAD63911511-T,58,CKAL,2,
2026-04,EAD65606209-I,EAD65606209-I,5,CKAD,1,
2026-04,EAD65606209-I,EAD65606209-I,32,CKVB,2,
2026-04,EAD65606209-I,EAD65606209-I,2,CKAL,2,
2026-04,EAD63911352-I1,EAD63911352-I,473,CKAD,1,
2026-04,EAD63911352-I1,EAD63911352-I,23,CKAL,2,
2026-04,EAD62468244-T,EAD62468244-T,4000,CKAD,1,
2026-04,EAD62468244-T,EAD62468244-T,4402,CKAL,2,
2026-04,EAD61212398-T1,EAD61212398-T,2000,CKAD,1,
2026-04,EAD61212398-T1,EAD61212398-T,45,CKAL,2,
2026-04,EAD63845502-T,EAD63845502-T,4000,CKAD,1,
2026-04,EAD63845502-T,EAD63845502-T,22,CKAL,2,
2026-04,EAD66091503-I,EAD66091503-I,14,CKAD,1,
2026-04,EAD66091503-I,EAD66091503-I,1098,CKVB,2,
2026-04,EAD63911418-I,EAD63911418-I,39,CKVB,2,
2026-04,EAD63911418-I,EAD63911418-I,17,CKAL,2,
2026-04,EAD63911418-I,EAD63911418-I,20,CKMT,2,
2026-04,6850EC3006V-T,6850EC3006V-T,2000,CKAL,2,
2026-04,EAD62061319-T,EAD62061319-T,1500,CKAL,2,
2026-04,EAD62428629-T,EAD62428629-T,4000,CKAD,1,
2026-04,EAD62428629-T,EAD62428629-T,3034,CKAL,2,
2026-04,EAD63911358-I,EAD63911358-I,17,CKAD,1,
2026-04,EAD63911358-I,EAD63911358-I,1018,CKMT,2,
2026-04,EAD64545399-I,EAD64545399-I,5,CKTN,2,
2026-04,EAD64545399-I,EAD64545399-I,85,CKTN,2,
2026-04,EAD64587804-I,EAD64587804-I,3000,CKAD,1,
2026-04,EAD64587804-I,EAD64587804-I,2908,CKAL,2,
2026-04,EAD65606208-I,EAD65606208-I,2000,CKAD,1,
2026-04,EAD65606208-I,EAD65606208-I,5,CKVB,2,
2026-04,EAD65606208-I,EAD65606208-I,17,CKAL,2,
2026-04,EAD63911348-I,EAD63911348-I,2000,CKAD,1,
2026-04,EAD63911348-I,EAD63911348-I,55,CKMT,2,
2026-04,EAD63911344-I,EAD63911344-I,15,CKAD,1,
2026-04,EAD63911344-I,EAD63911344-I,4,CKVB,2,
2026-04,EAD63911344-I,EAD63911344-I,79,CKMT,2,
2026-04,EAD64169021-I,EAD64169021-I,39,CKTN,2,
2026-04,EAD64169020-I,EAD64169020-I,8,CKVB,2,
2026-04,EAD64169020-I,EAD64169020-I,31,CKTN,2,
2026-04,EAD64545392-I,EAD64545392-I,10,CKTN,2,
2026-04,EAD64545392-I,EAD64545392-I,77,CKTN,2,
2026-04,EAD64545383-I,EAD64545383-I,10,CKTN,2,
2026-04,EAD63913527-I,EAD63913527-I,4000,CKAD,1,
2026-04,EAD63913527-I,EAD63913527-I,2350,CKVB,2,
2026-04,7200007689-I,7200007689-I,1,CKAD,1,
2026-04,7200007689-I,7200007689-I,2,CKTN,2,
2026-04,7200007556-I1,7200007556-I,289,CKAD,1,
2026-04,7200007556-I1,7200007556-I,9,CKTN,2,
2026-04,EAD60704053-T,EAD60704053-T,7,CKAL,2,
2026-04,EAD65616820-I,EAD65616820-I,44,CKVB,2,
2026-04,EAD66006017-I,EAD66006017-I,19,CKTN,2,
2026-04,EAD64587836-T,EAD64587836-T,6,CKAL,2,
2026-04,EAD66006018-I,EAD66006018-I,200,CKTN,2,
2026-04,EAD62090005-T,EAD62090005-T,4000,CKAD,1,
2026-04,EAD62090005-T,EAD62090005-T,105,CKTN,2,
2026-04,EAD64109903-T,EAD64109903-T,3000,CKAD,1,
2026-04,EAD64109903-T,EAD64109903-T,6005,CKAL,2,
2026-04,EAD63911420-I,EAD63911420-I,21,CKAD,1,
2026-04,EAD63911420-I,EAD63911420-I,118,CKVB,2,
2026-04,EAD63911420-I,EAD63911420-I,1000,CKMT,2,
2026-04,EAD66010222-I,EAD66010222-I,8,CKAD,1,
2026-04,EAD66010222-I,EAD66010222-I,1158,CKTN,2,
2026-04,EAD62061010-T,EAD62061010-T,3000,CKAD,1,
2026-04,EAD64765409-T,EAD64765409-T,1004,CKAL,2,
2026-04,EAD64765409-T,EAD64765409-T,6,CKTN,2,
2026-04,EAD64169024-I,EAD64169024-I,1002,CKTN,2,
2026-04,EAD63913529-I,EAD63913529-I,100,CKAD,1,Tồn đâu chưa giao thì phải còn
